Unique_ID,Planting_Year,Year,Yard_Age,Variety,Variety_Susceptibility,FS_Binary,Pruning_Type,Mech_Prune,Pruning_Quality,Poor_Prune,Suscept_Binary,Flagshoots,Second_Year
336,1992,2014,22,Nugget,4,0,Mechanic,0,1,0,1,0,0
337,1992,2014,22,Nugget,4,0,Mechanic,0,1,0,1,0,0
338,NA,2014,NA,HHA102,2,0,Chemical,1,1,0,1,0,0
339,2001,2014,13,Sterling,3,0,Chemical,1,3,1,1,0,0
340,2014,2014,0,Centennial,3,0,Chemical,1,3,1,1,0,0
341,2008,2014,6,Willamette,3,0,Chemical,1,3,1,1,0,0
342,2012,2014,2,Meridian,3,0,Chemical,1,1,0,1,0,0
343,1998,2014,16,Sterling,3,0,Chemical,1,5,1,1,0,0
344,2000,2014,14,Willamette,3,0,Chemical,1,2,0,1,0,0
345,2012,2014,2,Cascade,1,0,Chemical,1,1,0,0,0,0
346,1995,2014,19,Nugget,4,0,Mechanic,0,4,1,1,0,0
347,NA,2014,NA,Centennial,3,0,Chemical,1,1,0,1,0,0
348,1995,2014,19,Nugget,4,0,Mechanic,0,2,0,1,0,0
349,1995,2014,19,Nugget,4,0,Mechanic,0,4,1,1,0,0
350,1995,2014,19,Nugget,4,0,Mechanic,0,1,0,1,0,0
351,1999,2014,15,Magnum,4,1,Chemical,1,3,1,1,0.005,0
352,1991,2014,23,Nugget,4,0,Chemical,1,2,0,1,0,0
353,2000,2014,14,Sterling,3,0,Chemical,1,2,0,1,0,0
354,1988,2015,27,Willamette,3,0,Mechanic,0,2,0,1,0,0
355,1994,2015,21,Nugget,4,0,Mechanic,0,1,0,1,0,0
356,2015,2016,1,Centennial,3,0,Notprune,1,5,1,1,0,1
357,1994,2016,22,Nugget,4,0,Chemical,1,3,1,1,0,0
358,1984,2016,32,Nugget,4,0,Mechanic,0,1,0,1,0,0
359,1991,2016,25,Nugget,4,0,Mow_chem,1,3,1,1,0,0
360,1988,2016,28,Nugget,4,0,Mechanic,0,1,0,1,0,0
